name|Смолигівська територіальна громада
region|Волинська область
id|id142
link|http://decentralization.gov.ua/region/common/id/721
0|1|2
№ з/п|Показники|Значення показників
1|Чисельність  населення станом на 1 січня 2015 року, в тому числі:|1771
дітей дошкільного віку|147|
дітей шкільного віку|266|
2.|Кількість населених пунктів, що входять до складу спроможної територіальної громади|5
3|Обсяг доходів (розрахунковий) територіальноїгромади, грн|1940000
|у тому числі:|
сформованих відповідно до ст. 64 Бюджетного кодексу України|1940000|
бюджету розвитку||
базової дотації||
реверсної дотації||
4|Площа території громади|6912
5|Кількість закладів, що утримуються за рахунок бюджету органів місцевого самоврядування:|6
школи І-ІІІ ступеня|1|
школи І-ІІ ступеня|0|
школи І ступеня|0|
дитячі садки|0|
заклади позашкільної освіти|0|
культури|4|
фізичної культури|0|
фельдшерсько-акушерські пункти|1|
амбулаторії, поліклініки|0|
лікарні|0|
станції швидкої допомоги|0|
6|Наявність державних органів, установ, що утримуються за рахунок державного бюджету:|є
правоохоронних органів|є|
реєстрації актів громадянського стану та майнових прав|є|
пенсійного фонду|є|
соціального захисту|є|
протипожежної безпеки|немає|
казначейства|є|
7|Наявність приміщень, придатних для розміщення: органів місцевого самоврядування державних органів|є
